t=2025-10-31T13:18:40+0000 lvl=info msg="no configuration paths supplied"
t=2025-10-31T13:18:40+0000 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2025-10-31T13:18:40+0000 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2025-10-31T13:18:40+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-31T13:18:41+0000 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://villiform-parker-perfunctorily.ngrok-free.dev
t=2025-10-31T13:18:42+0000 lvl=info msg=start pg=/api/tunnels id=fa8ff5efe1cdf0c7
t=2025-10-31T13:18:42+0000 lvl=info msg=end pg=/api/tunnels id=fa8ff5efe1cdf0c7 status=200 dur=226.965µs
t=2025-10-31T13:19:47+0000 lvl=warn msg="failed to open private leg" id=cca059dfeef0 privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:19:48+0000 lvl=warn msg="failed to open private leg" id=af3ebd019d1c privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:21:08+0000 lvl=info msg="join connections" obj=join id=ec663bbcf8a2 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:10+0000 lvl=info msg="join connections" obj=join id=8ad2ba15ae34 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:10+0000 lvl=info msg="join connections" obj=join id=6df54987d838 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:10+0000 lvl=info msg="join connections" obj=join id=a05978f5b518 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:10+0000 lvl=info msg="join connections" obj=join id=c213a7b2d1b7 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:11+0000 lvl=info msg="join connections" obj=join id=b3a84629de5e l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
t=2025-10-31T13:21:11+0000 lvl=info msg="join connections" obj=join id=aa162a8a3c3a l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:34500
